,Name,location,url,Founder Name,,,,,,,,,url
0,Vates,"Sausalito, CA",https://nearshorevates.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=us-it-services,Mario Barra,,,,,,,,,
1,Liventus,"Chicago, IL",https://www.liventus.com/work-with-us/?utm_source=clutch.co&utm_medium=referral&utm_campaign=us-it-services,Daniel Levin,,,,,,,,,
2,Imagis,"New York, NY",https://imagisinnovations.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=us-it-services,ERROR,,,,,,,,,
3,Iron Range Cyber,"Washington, DC",https://www.ironrangecyber.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=us-it-services,Larry Ishol,,,,,,,,,
4,TechMD,"Santa Ana, CA",http://www.techmd.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Sebastian Igreti,,,,,,,,,
5,Integris,"East Windsor, NJ",https://integrisit.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Timothy Pehrson,,,,,,,,,
6,eMazzanti Technologies,"Hoboken, NJ",https://www.emazzanti.net/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Carl Mazzanti,,,,,,,,,
7,TPx Communications,"Austin, TX",https://www.tpx.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Rick Mace,,,,,,,,,
8,"BCA IT, Inc.","Doral, FL",https://www.bcainc.com/?utm_source=clutch.co&utm_medium=referral,Kenneth Henao,,,,,,,,,
9,Total Networks,"Phoenix, AZ",https://totalnetworks.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Dave Kinsey,,,,,,,,,
10,Andromeda Technology Solutions,"Lockport, IL",https://it-services.wenetwork.com,Jeff Borello,,,,,,,,,
11,EMPIST,"Chicago, IL",https://www.empist.com?utm_source=clutch.co&utm_medium=referral,John Kampas,,,,,,,,,
12,Red Key Solutions,"White Plains, NY",http://www.redkeysolutions.com/?utm_source=clutch.co&utm_medium=referral,Paul Grenci,,,,,,,,,
13,CyberDuo,"Glendale, CA",https://cyberduo.com/?utm_source=clutch.co&utm_medium=referral,Kevin Tadevosyan,,,,,,,,,
14,OSIbeyond,"Rockville, MD",https://www.osibeyond.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Payam Pourkhomami,,,,,,,,,
15,Cloudience,"Chandler, AZ",https://cloudience.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Dan Rubianes,,,,,,,,,
16,Ripple IT,"Atlanta, GA",https://www.rippleit.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Chris Larsen,,,,,,,,,
17,Mission Cloud,"Beverly Hills, CA",https://missioncloud.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Simon Anderson,,,,,,,,,
18,10Pearls,"Washington, DC",http://www.10pearls.com/?utm_source=clutch.co&utm_medium=referral,Imran Aftab,,,,,,,,,
19,DataArt,"New York, NY",https://www.dataart.com/services?modal=clutch&utm_source=clutch&utm_medium=referral&utm_campaign=clutch-general-profile,Eugene Goland,,,,,,,,,
20,BRITECITY,"Irvine, CA",http://briteCITY.com/?utm_source=clutch.co&utm_medium=referral,Chad Gniffke,,,,,,,,,
21,designDATA,"Gaithersburg, MD",https://www.designdata.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Matt Ruck,,,,,,,,,
22,SugarShot,"Redondo Beach, CA",http://www.sugarshot.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,Scott Spiro,,,,,,,,,
23,TruAdvantage,"Cupertino, CA",http://www.truAdvantage.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Kayvan Yazdi, MBA",,,,,,,,,
24,M6iT,"New York, NY",https://m6it.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,ERROR,,,,,,,,,
